threshold,n_targeted,expected_profit_total,expected_profit_per_customer
0.01,1280,46372.29654064291,32.911495060782755
0.02,1199,50224.23646157171,35.64530621829078
0.03,1149,52455.13673200081,37.22862791483379
0.04,1082,55246.73076815197,39.20988698946201
0.05,1036,57011.83860696142,40.4626249871976
0.060000000000000005,999,58324.28579663526,41.39409921691644
0.06999999999999999,976,59075.23908134519,41.92706819116054
0.08,939,60175.80339550749,42.70816422676188
0.09,912,60891.071274003705,43.21580644003102
0.09999999999999999,882,61589.62559509106,43.711586653719706
0.11,858,62079.635863964344,44.059358313672355
0.12,840,62395.99639801226,44.28388672676527
0.13,820,62687.55010182108,44.490809156721845
0.14,797,62953.67683195083,44.67968547335048
0.15000000000000002,786,63045.39528745007,44.74478018981552
0.16,766,63153.739996794524,44.82167494449576
0.17,752,63190.640715630565,44.847864241043695
0.18000000000000002,738,63179.249393343925,44.83977955524764
0.19,717,63104.88640253409,44.787002414857405
0.2,691,62947.89586194745,44.67558258477463
0.21000000000000002,670,62742.16560207607,44.52957104476655
0.22,662,62644.567428990296,44.46030335627416
0.23,650,62465.54258343884,44.33324526858682
0.24000000000000002,628,62061.62038021175,44.04657230675071
0.25,609,61647.94812452496,43.752979506405225
0.26,598,61375.44220366021,43.559575730064026
0.27,578,60832.924491165955,43.174538318783505
0.28,567,60501.15019167773,42.93907039863572
0.29000000000000004,554,60065.61504352086,42.62996099611133
0.3,544,59698.673665522816,42.36953418418936
0.31,534,59303.13522563942,42.088811373768216
0.32,523,58828.213530464935,41.751748424744456
0.33,502,57884.57054111731,41.082023095186166
0.34,498,57691.28377781365,40.944842993480236
0.35000000000000003,490,57281.18994843087,40.65378988533064
0.36000000000000004,482,56844.10027883826,40.34357720286605
0.37,472,56268.342551173264,39.93494858138628
0.38,460,55541.4323348832,39.41904353079006
0.39,453,55096.68085068645,39.10339308068591
0.4,439,54163.391194200296,38.44101575173903
0.41000000000000003,430,53534.2384376284,37.99449143905493
0.42000000000000004,418,52661.415013441474,37.37502839846805
0.43,403,51535.09970964484,36.575656287895555
0.44,392,50673.441074834,35.96411715744074
0.45,386,50182.48490829971,35.61567417196573
0.46,371,48915.6338570992,34.716560579914265
0.47000000000000003,356,47604.705260965355,33.786164131274205
0.48000000000000004,337,45888.000156193026,32.567778677212935
0.49,329,45138.43809585237,32.03579708719118
0.5,314,43689.67676946463,31.00757755107497
0.51,301,42396.631344116635,30.08987320377334
0.52,290,41268.12010501,29.28894258694819
0.53,275,39688.25687351639,28.16767698617203
0.54,261,38166.74706689427,27.08782616529047
0.55,251,37054.06365567862,26.29812892525097
0.56,244,36253.57769063181,25.730005458219882
0.5700000000000001,236,35315.60912144602,25.064307396342098
0.5800000000000001,227,34237.86908765355,24.299410282223953
0.59,213,32507.84163600775,23.071569649402235
0.6,198,30613.837864940437,21.727351217133027
0.61,185,28935.82689522358,20.53642788873214
0.62,173,27345.642658754805,19.407837231195746
0.63,164,26122.06497295173,18.539435750852896
0.64,151,24319.417173649425,17.26005477193004
0.65,139,22620.21908861973,16.054094456082137
0.66,132,21609.078650124,15.336464620386089
0.67,118,19538.531285316316,13.86694910242464
0.68,103,17277.165258369678,12.262005151433412
0.6900000000000001,93,15739.577055938718,11.17074311989973
0.7000000000000001,75,12920.167777891049,9.169742922562845
0.7100000000000001,67,11652.827678456932,8.270282241630186
0.72,58,10191.351773578426,7.233038874079791
0.73,42,7542.386590925394,5.3530068069023375
0.74,34,6195.179727358429,4.396862829920815
0.75,31,5684.725423917101,4.0345815641711145
0.76,26,4808.929987227366,3.4130092173366684
0.77,20,3741.9647269093784,2.6557592100137533
0.78,16,3020.08560797874,2.143424845974975
0.79,12,2286.6354455994547,1.6228782438605072
0.8,9,1725.8840968173417,1.2248999977411936
0.81,4,778.9383579492751,0.552830630198208
0.8200000000000001,1,200.97790188411136,0.14263868125203077
0.8300000000000001,1,200.97790188411136,0.14263868125203077
0.8400000000000001,1,200.97790188411136,0.14263868125203077
0.85,0,0.0,0.0
0.86,0,0.0,0.0
0.87,0,0.0,0.0
0.88,0,0.0,0.0
0.89,0,0.0,0.0
0.9,0,0.0,0.0
0.91,0,0.0,0.0
0.92,0,0.0,0.0
0.93,0,0.0,0.0
0.9400000000000001,0,0.0,0.0
0.9500000000000001,0,0.0,0.0
0.9600000000000001,0,0.0,0.0
0.97,0,0.0,0.0
0.98,0,0.0,0.0
0.99,0,0.0,0.0
